person,gender,age,became_member_on,bmo_year,income,amount_sum,amount_mean,offer received,offer viewed,offer completed,age_group,income_group,bogo,discount,informational,chance bogo,chance discount,chance informational,Cluster
00840a2ca5d2408e982d56544dc14ffd,M,26,2014-12-21,2014,61000.0,62.93,3.7017647058823533,6.0,2.0,3.0,Youth,Lower-Middle,0.0,50.0,0.0,Low,Low,Low,Cluster 1
00857b24b13f4fe0ad17b605f00357f5,M,71,2017-10-23,2017,41000.0,6.26,1.565,5.0,3.0,0.0,Older,Lower-Middle,0.0,0.0,50.0,Low,Low,Low,Cluster 1
008d7088107b468893889da0ede0df5c,M,24,2017-09-10,2017,42000.0,16.180000000000003,2.311428571428572,6.0,5.0,0.0,Youth,Lower-Middle,0.0,0.0,100.0,Low,Low,High,Cluster 1
0091d2b6a5ea4defaa8393e4e816db60,F,62,2016-06-17,2016,81000.0,279.16,23.263333333333332,5.0,5.0,4.0,Older,Upper-Middle,75.0,100.0,50.0,High,High,Low,Cluster 0
0099bf30e4cb4265875266eb3eb25eab,M,61,2018-02-14,2018,66000.0,105.83,11.758888888888887,5.0,3.0,2.0,Older,Lower-Middle,0.0,25.0,50.0,Low,Low,Low,Cluster 2
00a794f62b9a48beb58f8f6c02c2f1a6,F,88,2015-10-24,2015,54000.0,166.4,15.127272727272727,5.0,5.0,1.0,Senior,Lower-Middle,50.0,50.0,100.0,Low,Low,High,Cluster 2
00ae03011f9f49b8a4b3e6d416678b0b,M,55,2015-11-15,2015,83000.0,218.04999999999995,27.256249999999994,6.0,5.0,4.0,Older,Upper-Middle,0.0,33.333333333333336,100.0,Low,Low,High,Cluster 0
00aee28bbb3848dd8a31f0c91dc267dd,M,21,2018-01-06,2018,59000.0,20.53,4.106,3.0,2.0,0.0,Youth,Lower-Middle,0.0,0.0,50.0,Low,Low,Low,Cluster 1
00b18b535d6d4f779dea4dc9ac451478,M,72,2017-04-07,2017,102000.0,133.25,26.65,5.0,5.0,3.0,Older,High,0.0,100.0,0.0,Low,High,Low,Cluster 0
00b3400e4ff64ee68ce9ada1d0c222f0,M,62,2016-08-25,2016,80000.0,163.92,16.392,5.0,2.0,3.0,Older,Upper-Middle,0.0,50.0,50.0,Low,Low,Low,Cluster 0
00b3c376db2a4115af3aef34a02f61d6,M,50,2017-06-27,2017,104000.0,219.63,27.45375,3.0,2.0,3.0,Older,High,50.0,0.0,50.0,Low,Low,Low,Cluster 0
00b901d68f8f4fd68075184cd0f772d2,F,68,2018-06-22,2018,76000.0,53.55,13.3875,4.0,4.0,0.0,Older,Lower-Middle,0.0,0.0,50.0,Low,Low,Low,Cluster 2
00bbce6533f44ddeaf4dd32bcab55441,M,94,2014-11-28,2014,50000.0,77.21,11.03,4.0,4.0,3.0,Senior,Lower-Middle,100.0,50.0,100.0,High,Low,High,Cluster 2
00bc42a62f884b41a13cc595856cf7c3,M,44,2016-01-11,2016,72000.0,150.64,18.83,5.0,4.0,5.0,Middle,Lower-Middle,100.0,75.0,50.0,High,High,Low,Cluster 0
00bc983061d3471e8c8e74d31b7c8b6f,M,59,2017-10-16,2017,77000.0,63.49999999999999,21.166666666666664,4.0,2.0,1.0,Older,Lower-Middle,50.0,0.0,50.0,Low,Low,Low,Cluster 0
00c2f812f4604c8893152a5c6572030e,F,58,2018-06-30,2018,102000.0,124.09,24.818,5.0,4.0,3.0,Older,High,0.0,0.0,50.0,Low,Low,Low,Cluster 0
00c32a104f0c4065b5b552895fb22e34,M,33,2017-12-22,2017,42000.0,6.98,3.49,4.0,3.0,0.0,Youth,Lower-Middle,0.0,0.0,50.0,Low,Low,Low,Cluster 1
00c5a385c71a4d3db5e9b4e31e430943,M,28,2017-10-03,2017,35000.0,2.59,1.295,6.0,4.0,0.0,Youth,Lower-Middle,0.0,0.0,100.0,Low,Low,High,Cluster 1
00c6035df45840038a72766c6d27a0db,M,47,2017-02-25,2017,86000.0,241.55,21.959090909090904,4.0,4.0,3.0,Middle,Upper-Middle,100.0,100.0,100.0,High,High,High,Cluster 0
00c91f31f5f74e769fa7a359b63e1a9f,F,22,2016-11-15,2016,49000.0,134.74,9.624285714285717,5.0,4.0,3.0,Youth,Lower-Middle,50.0,66.66666666666667,50.0,Low,High,Low,Cluster 2
00ceaf16a40341e6996d543d04daa2c2,M,34,2018-05-19,2018,38000.0,26.98,2.9977777777777783,5.0,4.0,0.0,Youth,Lower-Middle,0.0,0.0,50.0,Low,Low,Low,Cluster 1
00cf1bbec83f4a658f8994e556db4633,M,53,2018-05-15,2018,73000.0,64.27000000000001,21.423333333333336,3.0,3.0,2.0,Older,Lower-Middle,50.0,33.333333333333336,50.0,Low,Low,Low,Cluster 0
00cf471ed1aa42a8bdde5561d67da2b1,M,53,2018-01-28,2018,40000.0,26.18,3.2725,5.0,3.0,1.0,Older,Lower-Middle,0.0,0.0,50.0,Low,Low,Low,Cluster 1
00d6dc87be4146ceb47fcd4baaaf6477,F,58,2017-12-11,2017,115000.0,334.64,27.88666666666667,6.0,4.0,5.0,Older,High,100.0,50.0,0.0,High,Low,Low,Cluster 0
00d791e20c564add8056498e40eb56cc,M,22,2015-12-24,2015,32000.0,59.62,3.1378947368421053,5.0,5.0,4.0,Youth,Lower-Middle,33.333333333333336,100.0,0.0,Low,High,Low,Cluster 1
00d7c95f793a4212af44e632fdc1e431,M,71,2016-12-29,2016,75000.0,162.42,23.20285714285714,5.0,3.0,5.0,Older,Lower-Middle,100.0,33.333333333333336,50.0,High,Low,Low,Cluster 0
00d91c5919514448bc4f718e4e3f26ab,M,45,2018-01-25,2018,88000.0,44.6,22.3,5.0,4.0,1.0,Middle,Upper-Middle,50.0,0.0,100.0,Low,Low,High,Cluster 0
00e20b4ca129458aaab0f4727ef3513a,F,82,2014-12-11,2014,33000.0,191.55,9.5775,3.0,3.0,2.0,Senior,Lower-Middle,0.0,100.0,50.0,Low,High,Low,Cluster 2
00e52682848542c3a6f59b7824e9a5c5,M,40,2016-10-18,2016,65000.0,23.07,11.535,5.0,4.0,1.0,Middle,Lower-Middle,0.0,50.0,100.0,Low,Low,High,Cluster 1
00e8d701c583461e81cc10053681a12b,M,35,2018-02-26,2018,70000.0,30.98,4.425714285714286,4.0,3.0,1.0,Middle,Lower-Middle,0.0,50.0,100.0,Low,Low,High,Cluster 1
00e9f403afa641889cd034ee7c7ca6e9,M,73,2016-04-17,2016,45000.0,614.5899999999998,36.152352941176474,5.0,4.0,3.0,Older,Lower-Middle,50.0,33.333333333333336,50.0,Low,Low,Low,Cluster 0
00ed7e22b32749cfafbfd88592d401d4,M,55,2016-07-31,2016,94000.0,236.96000000000004,21.54181818181818,4.0,2.0,3.0,Older,Upper-Middle,50.0,50.0,50.0,Low,Low,Low,Cluster 0
00ee2ca6421c4af0aeca60a1b3e00f6c,M,60,2017-08-16,2017,74000.0,4.03,4.03,4.0,4.0,0.0,Older,Lower-Middle,0.0,0.0,100.0,Low,Low,High,Cluster 1
00ee69db83964d6da32f8109b32a1ce7,M,45,2018-01-14,2018,52000.0,15.79,3.1580000000000004,5.0,4.0,0.0,Middle,Lower-Middle,0.0,0.0,100.0,Low,Low,High,Cluster 1
00fac72fd6ad448e8019b175267023df,M,57,2017-04-15,2017,80000.0,186.23,18.623,4.0,4.0,4.0,Older,Upper-Middle,50.0,50.0,50.0,Low,Low,Low,Cluster 0
00fbb9b5edb94f02afbaf1eb49bb4d7d,F,56,2018-02-23,2018,91000.0,80.1,26.7,3.0,3.0,1.0,Older,Upper-Middle,0.0,50.0,100.0,Low,Low,High,Cluster 0
00fdd4416dec40b49180814c0a7c8d76,M,55,2016-11-15,2016,104000.0,76.65,25.55,3.0,2.0,1.0,Older,High,50.0,100.0,50.0,Low,High,Low,Cluster 0
0103de989e084e0fab400e80678d7591,M,19,2016-07-25,2016,50000.0,144.97000000000003,13.17909090909091,5.0,3.0,5.0,Youth,Lower-Middle,50.0,33.333333333333336,50.0,Low,Low,Low,Cluster 2
01162252405b4524a8fa1bf8e6d5f04b,F,68,2017-03-28,2017,32000.0,129.86,7.2144444444444416,6.0,4.0,4.0,Older,Lower-Middle,0.0,100.0,100.0,Low,High,High,Cluster 2
01176ee7289b48e39ee6261d5c071a07,M,52,2018-05-01,2018,38000.0,20.200000000000006,4.040000000000001,4.0,3.0,1.0,Older,Lower-Middle,50.0,0.0,50.0,Low,Low,Low,Cluster 1
0118fbb66dd2443a9dd407d2c99a7672,M,57,2017-08-21,2017,55000.0,64.03999999999999,21.346666666666664,4.0,4.0,0.0,Older,Lower-Middle,50.0,0.0,50.0,Low,Low,Low,Cluster 2
0121fe001b7a404fa9cbe486f8944baf,F,86,2018-04-12,2018,109000.0,191.68,31.94666666666667,6.0,2.0,3.0,Senior,High,0.0,50.0,0.0,Low,Low,Low,Cluster 0
0123564dbaf144a88a418c33b6350c17,F,54,2017-09-17,2017,117000.0,176.74,29.45666666666667,5.0,3.0,2.0,Older,High,0.0,100.0,50.0,Low,High,Low,Cluster 0
013094309e1b49e095c098df412d125d,M,58,2014-10-24,2014,54000.0,69.17999999999999,3.459,5.0,5.0,3.0,Older,Lower-Middle,33.333333333333336,100.0,50.0,Low,High,Low,Cluster 2
01380da907f8495496679c795867790b,F,86,2017-06-22,2017,73000.0,154.99,19.37375,4.0,3.0,2.0,Senior,Lower-Middle,66.66666666666667,50.0,100.0,High,Low,High,Cluster 0
013f2c82889f4641a9b847a48861cce0,M,67,2017-08-21,2017,79000.0,186.54,20.726666666666667,4.0,4.0,3.0,Older,Lower-Middle,100.0,100.0,100.0,High,High,High,Cluster 0
0141d3870a424c03a20390040efad826,M,70,2018-03-01,2018,60000.0,6.32,1.58,5.0,3.0,0.0,Older,Lower-Middle,0.0,0.0,0.0,Low,Low,Low,Cluster 1
01443a2afce54939a323c978f467c540,F,61,2015-10-10,2015,118000.0,417.93000000000006,26.120625,5.0,5.0,5.0,Older,High,100.0,50.0,50.0,High,Low,Low,Cluster 0
014899c751254a62a96ce676eb11ddc2,F,52,2016-03-24,2016,115000.0,287.11,28.710999999999995,6.0,5.0,3.0,Older,High,0.0,100.0,100.0,Low,High,High,Cluster 0
0157e63b39c5456393026c6c03f3d84a,F,70,2017-11-09,2017,76000.0,199.65,19.965,3.0,3.0,3.0,Older,Lower-Middle,50.0,100.0,50.0,Low,High,Low,Cluster 0
015c3d28c67e46aa95e9ec97c27220e8,M,56,2016-03-22,2016,99000.0,235.41,23.541,5.0,5.0,5.0,Older,Upper-Middle,100.0,75.0,50.0,High,High,Low,Cluster 0
015ef929e016415098eeae8ce59da721,F,44,2017-01-18,2017,35000.0,18.28,6.093333333333334,5.0,1.0,1.0,Middle,Lower-Middle,50.0,33.333333333333336,0.0,Low,Low,Low,Cluster 1
015fb0b3fbaa4aceb910fbdf272f7547,M,46,2018-07-10,2018,35000.0,14.29,2.381666666666667,5.0,4.0,0.0,Middle,Lower-Middle,0.0,50.0,0.0,Low,Low,Low,Cluster 1
016086228d58476599d0b47881c25509,F,84,2017-10-14,2017,74000.0,83.2,16.64,4.0,3.0,2.0,Senior,Lower-Middle,0.0,50.0,0.0,Low,Low,Low,Cluster 2
01613170f679422a8acfa96f0f19fdf2,M,22,2018-03-17,2018,57000.0,10.330000000000002,2.0660000000000003,4.0,3.0,0.0,Youth,Lower-Middle,0.0,0.0,0.0,Low,Low,Low,Cluster 1
01633b71b3a2457aa7d35d8bcc3afb5a,M,62,2015-09-02,2015,90000.0,161.51000000000005,20.18875,4.0,4.0,4.0,Older,Upper-Middle,100.0,50.0,50.0,High,Low,Low,Cluster 0
016871ea865d4338975026ae08d221d0,F,57,2018-06-01,2018,79000.0,45.79,15.263333333333335,6.0,2.0,1.0,Older,Lower-Middle,0.0,0.0,66.66666666666667,Low,Low,High,Cluster 2
016b37032984457fb33ba2767fcc8c9f,M,24,2014-05-18,2014,56000.0,55.17999999999999,3.678666666666667,5.0,2.0,0.0,Youth,Lower-Middle,50.0,0.0,100.0,Low,Low,High,Cluster 1
016edb1d1d67477391c5337545a5d98a,F,66,2015-12-29,2015,57000.0,131.04999999999998,14.56111111111111,6.0,5.0,3.0,Older,Lower-Middle,50.0,66.66666666666667,100.0,Low,High,High,Cluster 2
017160c1cdb845d48abec3c330b4427e,F,68,2015-12-14,2015,76000.0,198.09,22.01,4.0,2.0,3.0,Older,Lower-Middle,100.0,0.0,0.0,High,Low,Low,Cluster 0
01772eae932447f9a853461a60820dc6,F,54,2017-07-13,2017,30000.0,58.28,7.285000000000001,4.0,3.0,1.0,Older,Lower-Middle,0.0,50.0,0.0,Low,Low,Low,Cluster 1
01784d3e205548a594ba3fcdbdaaf17d,M,20,2016-01-02,2016,43000.0,151.82999999999996,11.679230769230768,4.0,3.0,3.0,Youth,Lower-Middle,100.0,0.0,100.0,High,Low,High,Cluster 2
017a93d1204f457bbe85f5e7de062b56,M,56,2017-11-06,2017,35000.0,110.52,8.50153846153846,5.0,5.0,2.0,Older,Lower-Middle,100.0,50.0,100.0,High,Low,High,Cluster 2
01873cc8de734961949af7c04b2e9872,M,72,2018-01-22,2018,45000.0,50.55,2.808333333333333,5.0,4.0,1.0,Older,Lower-Middle,0.0,50.0,0.0,Low,Low,Low,Cluster 1
01887dcd32b64feb807e2436548b6c87,M,61,2017-10-14,2017,78000.0,64.33000000000001,21.44333333333334,6.0,6.0,2.0,Older,Lower-Middle,50.0,0.0,100.0,Low,Low,High,Cluster 0
018a49ffb8cf4812903e7c1f56fbb0b0,M,61,2016-12-02,2016,34000.0,98.65,7.588461538461538,5.0,5.0,4.0,Older,Lower-Middle,100.0,50.0,100.0,High,Low,High,Cluster 2
018b8f83176d471db63d9733c741fc8a,F,75,2018-05-02,2018,109000.0,37.04,18.52,2.0,2.0,2.0,Older,High,100.0,50.0,50.0,High,Low,Low,Cluster 0
01925607d99c460996c281f17cdbb9e2,F,57,2015-11-19,2015,116000.0,54.62000000000001,27.31,4.0,2.0,3.0,Older,High,25.0,50.0,50.0,Low,Low,Low,Cluster 0
01956670cf414b309675aa73368b94a9,M,52,2016-08-25,2016,95000.0,248.65,24.865,5.0,4.0,5.0,Older,Upper-Middle,50.0,33.333333333333336,50.0,Low,Low,Low,Cluster 0
0196d2062b8d4d019b8d96292266e8a4,F,60,2018-03-22,2018,51000.0,61.12000000000001,15.28,4.0,3.0,1.0,Older,Lower-Middle,50.0,0.0,100.0,Low,Low,High,Cluster 2
0199681637524988a14245632b8376af,F,74,2017-11-30,2017,72000.0,222.96,22.296,4.0,3.0,4.0,Older,Lower-Middle,100.0,0.0,50.0,High,Low,Low,Cluster 0
019be0c6f8fd4000b1967c7308b4bdf4,F,23,2015-11-08,2015,33000.0,141.20000000000005,6.723809523809522,5.0,4.0,3.0,Youth,Lower-Middle,0.0,100.0,50.0,Low,High,Low,Cluster 2
019cc78d8fed432ca6df71c132c72a99,M,27,2018-07-10,2018,39000.0,16.48,2.3542857142857145,5.0,2.0,0.0,Youth,Lower-Middle,0.0,0.0,50.0,Low,Low,Low,Cluster 1
01a202a9021e40aeaa5451a5d134c16c,F,74,2016-11-11,2016,91000.0,156.05,26.008333333333336,4.0,2.0,2.0,Older,Upper-Middle,0.0,100.0,50.0,Low,High,Low,Cluster 0
01a5e8b57bc04e0292525f3e2817fa17,M,55,2017-09-12,2017,79000.0,57.1,19.033333333333328,3.0,3.0,1.0,Older,Lower-Middle,0.0,100.0,50.0,Low,High,Low,Cluster 0
01ac633821f0498893320b41b5b22dfc,F,53,2015-10-30,2015,88000.0,251.46000000000004,20.955,6.0,4.0,5.0,Older,Upper-Middle,33.333333333333336,50.0,0.0,Low,Low,Low,Cluster 0
01b6d7e8f0884deb936a8a7f15dba895,M,48,2013-08-15,2013,52000.0,162.90000000000003,13.575000000000005,5.0,5.0,4.0,Older,Lower-Middle,0.0,25.0,50.0,Low,Low,Low,Cluster 2
01d26f638c274aa0b965d24cefe3183f,M,49,2017-01-26,2017,73000.0,39.74,4.9674999999999985,3.0,1.0,0.0,Older,Lower-Middle,50.0,0.0,50.0,Low,Low,Low,Cluster 1
01e09d713abe4a36a70a33fe4b40534e,F,60,2015-08-24,2015,74000.0,86.25999999999998,21.565,4.0,1.0,2.0,Older,Lower-Middle,100.0,0.0,0.0,High,Low,Low,Cluster 0
01e57718fc6b49b2875a9c02b32905b1,F,29,2016-12-11,2016,31000.0,101.19,6.746,4.0,3.0,1.0,Youth,Lower-Middle,0.0,0.0,0.0,Low,Low,Low,Cluster 2
01e8739670a042b3877f8e843bdf55a7,F,54,2015-10-24,2015,119000.0,181.16000000000003,22.645000000000003,5.0,3.0,2.0,Older,High,0.0,50.0,50.0,Low,Low,Low,Cluster 0
01e97a4633bf4963838a4aa9ed1dce3e,F,20,2017-09-03,2017,43000.0,17.96,2.245,5.0,4.0,0.0,Youth,Lower-Middle,0.0,0.0,0.0,Low,Low,Low,Cluster 1
01ef4c6618b64334a15914ff9963eaac,F,70,2017-11-09,2017,92000.0,135.57999999999998,27.116,4.0,1.0,2.0,Older,Upper-Middle,50.0,33.333333333333336,0.0,Low,Low,Low,Cluster 0
01f33ff554d0443a9841adfd66d253f6,F,69,2017-12-20,2017,79000.0,53.92,17.973333333333333,4.0,2.0,1.0,Older,Lower-Middle,0.0,100.0,50.0,Low,High,Low,Cluster 0
01f663b988964a4caca8b19abecb551d,F,62,2017-05-31,2017,62000.0,97.64,19.528,4.0,3.0,2.0,Older,Lower-Middle,50.0,50.0,100.0,Low,Low,High,Cluster 2
01fe5ec668f241608eb2f7ec374cb1b7,M,44,2017-08-02,2017,64000.0,161.89,16.189,1.0,1.0,0.0,Middle,Lower-Middle,50.0,50.0,100.0,Low,Low,High,Cluster 2
01ff6c5d8d014dbd8c120e2b43a065ea,F,54,2017-04-02,2017,58000.0,139.41000000000003,15.490000000000002,6.0,4.0,4.0,Older,Lower-Middle,50.0,0.0,100.0,Low,Low,High,Cluster 2
0200f61c69da4c2ea078842cdaf234e6,M,64,2016-12-10,2016,76000.0,195.01,21.667777777777783,6.0,4.0,6.0,Older,Lower-Middle,100.0,60.0,50.0,High,High,Low,Cluster 0
0206e1388c34454caba2b7fce3123943,M,39,2017-06-04,2017,71000.0,71.95,17.9875,4.0,4.0,2.0,Middle,Lower-Middle,100.0,50.0,100.0,High,Low,High,Cluster 2
020be6e9805649858595dfbaab15ccd7,M,67,2016-01-07,2016,39000.0,44.69,2.793125,6.0,3.0,3.0,Older,Lower-Middle,0.0,50.0,0.0,Low,Low,Low,Cluster 1
020be8b0fafa446ebcce6449b20bc92c,M,59,2015-06-18,2015,42000.0,34.879999999999995,3.170909090909092,5.0,2.0,1.0,Older,Lower-Middle,0.0,0.0,100.0,Low,Low,High,Cluster 1
020cd0f8047142e18a754303f9337d53,F,83,2018-05-13,2018,67000.0,232.9,17.915384615384614,5.0,5.0,4.0,Senior,Lower-Middle,50.0,0.0,100.0,Low,Low,High,Cluster 2
020d72e77c704c42bb0a858c1aaa3bcd,F,68,2017-06-26,2017,57000.0,252.14,14.007777777777774,5.0,5.0,3.0,Older,Lower-Middle,100.0,100.0,100.0,High,High,High,Cluster 2
021616b8deea46438e3badc7fca5894d,M,28,2016-12-18,2016,64000.0,218.51,18.209166666666665,3.0,3.0,3.0,Youth,Lower-Middle,100.0,50.0,50.0,High,Low,Low,Cluster 2
0217c4393fd54e74a523b63c0fcc3da5,M,70,2016-03-20,2016,64000.0,230.21,17.70846153846154,4.0,3.0,4.0,Older,Lower-Middle,33.333333333333336,0.0,50.0,Low,Low,Low,Cluster 2
0218964095c94da0bfac44cf40c9343f,M,77,2015-02-09,2015,94000.0,223.7,24.855555555555558,3.0,3.0,1.0,Older,Upper-Middle,0.0,100.0,100.0,Low,High,High,Cluster 0
021adce38ab34ede96422ae107643fd5,M,57,2017-04-05,2017,65000.0,247.26,17.661428571428573,6.0,6.0,3.0,Older,Lower-Middle,50.0,50.0,100.0,Low,Low,High,Cluster 2
021c1940868647efbcb40ccdb942813b,F,46,2015-02-21,2015,73000.0,86.28,17.256,6.0,6.0,5.0,Middle,Lower-Middle,50.0,0.0,50.0,Low,Low,Low,Cluster 2
0222d267445f4f078bc325224e471766,M,64,2018-01-02,2018,43000.0,23.17,2.317,4.0,2.0,2.0,Older,Lower-Middle,0.0,0.0,50.0,Low,Low,Low,Cluster 1
0225045e245f4b7289cc55c0b5870ae2,F,42,2017-09-12,2017,50000.0,59.09,14.7725,5.0,3.0,3.0,Middle,Lower-Middle,0.0,0.0,100.0,Low,Low,High,Cluster 2
022f5553a0704b53ba26f2d23cb1234d,F,46,2017-03-19,2017,62000.0,371.91,16.169999999999995,5.0,3.0,5.0,Middle,Lower-Middle,100.0,50.0,50.0,High,Low,Low,Cluster 2
0231c913a51e420783be6bdeb75aa842,F,28,2018-01-20,2018,65000.0,34.01,4.25125,5.0,5.0,3.0,Youth,Lower-Middle,0.0,50.0,100.0,Low,Low,High,Cluster 1
023411b8a45a4715979dae6cec425a8b,M,61,2018-05-23,2018,59000.0,21.57,2.157,6.0,5.0,1.0,Older,Lower-Middle,0.0,100.0,75.0,Low,High,High,Cluster 1
023a42cf62f742b795a975d56955e220,M,38,2017-08-27,2017,66000.0,50.09,2.7827777777777785,4.0,4.0,2.0,Middle,Lower-Middle,50.0,66.66666666666667,100.0,Low,High,High,Cluster 1
023fd15e56184ec19e23ed5a31c87543,M,21,2017-10-08,2017,53000.0,28.0,4.0,4.0,2.0,0.0,Youth,Lower-Middle,0.0,0.0,0.0,Low,Low,Low,Cluster 1
024218e67fa549a4a0a99b32b7b6fbf9,M,54,2018-03-08,2018,70000.0,193.38,17.58,4.0,4.0,4.0,Older,Lower-Middle,0.0,100.0,50.0,Low,High,Low,Cluster 2
0246e7cc7a3d4a98a940cb13776b5b55,M,70,2015-01-04,2015,65000.0,47.45,2.965625,5.0,4.0,2.0,Older,Lower-Middle,50.0,0.0,100.0,Low,Low,High,Cluster 1
0246f8fdf0b64014a98822b70231c58d,F,81,2018-04-01,2018,79000.0,89.37,22.3425,6.0,4.0,2.0,Senior,Lower-Middle,50.0,0.0,0.0,Low,Low,Low,Cluster 0
0247953d899b4a99acab74fa0a807c0f,M,77,2018-01-16,2018,53000.0,22.65,2.265,5.0,3.0,0.0,Older,Lower-Middle,0.0,50.0,0.0,Low,Low,Low,Cluster 1
0251876076024444864473545adce065,M,74,2016-02-11,2016,36000.0,27.9,1.9928571428571429,4.0,3.0,2.0,Older,Lower-Middle,50.0,50.0,50.0,Low,Low,Low,Cluster 1
0252aa6f0dee4585ba886945c60f48f5,F,49,2018-01-26,2018,58000.0,10.36,10.36,6.0,6.0,0.0,Older,Lower-Middle,0.0,0.0,50.0,Low,Low,Low,Cluster 1
02557fafcf334c30a22c312c5647f71a,M,45,2018-04-16,2018,43000.0,17.18,2.8633333333333333,6.0,2.0,0.0,Middle,Lower-Middle,0.0,0.0,50.0,Low,Low,Low,Cluster 1
026876bc8c6a4e0c8e330342c92cc844,F,49,2017-11-28,2017,74000.0,26.38,26.38,5.0,4.0,1.0,Older,Lower-Middle,0.0,0.0,50.0,Low,Low,Low,Cluster 0
027596e6ed19471392923eb833b25fd3,M,35,2017-08-29,2017,64000.0,14.86,2.4766666666666666,4.0,2.0,1.0,Middle,Lower-Middle,0.0,0.0,50.0,Low,Low,Low,Cluster 1
02765747959045a0a7c452888b2f31eb,F,62,2018-06-29,2018,40000.0,49.28999999999999,9.858,4.0,3.0,0.0,Older,Lower-Middle,0.0,0.0,0.0,Low,Low,Low,Cluster 1
027c18923c0146e58ccd615f6a62d82f,M,50,2015-01-23,2015,73000.0,24.55,2.2318181818181824,2.0,2.0,1.0,Older,Lower-Middle,0.0,100.0,50.0,Low,High,Low,Cluster 1
02865fee714e466e99f9bb7a7203887b,M,64,2017-08-05,2017,75000.0,18.95,3.79,5.0,2.0,1.0,Older,Lower-Middle,0.0,0.0,100.0,Low,Low,High,Cluster 1
028a12f0ee584455850300886174f3d7,F,79,2016-05-02,2016,88000.0,72.4,24.133333333333336,4.0,3.0,1.0,Older,Upper-Middle,50.0,50.0,50.0,Low,Low,Low,Cluster 0
028c88a958e54c36a31c4800fd6e887b,F,84,2016-07-01,2016,108000.0,372.02,26.572857142857146,5.0,3.0,5.0,Senior,High,100.0,25.0,50.0,High,Low,Low,Cluster 0
029e063479234fb1b6c8727c3d45de62,M,71,2017-11-25,2017,93000.0,69.77000000000001,23.25666666666667,4.0,2.0,1.0,Older,Upper-Middle,0.0,0.0,0.0,Low,Low,Low,Cluster 0
02a3aa431c1047be8eafec3dcd6b5fd0,M,54,2018-06-06,2018,70000.0,114.77,19.128333333333334,4.0,4.0,4.0,Older,Lower-Middle,100.0,100.0,50.0,High,High,Low,Cluster 2
02a458e1233342b79caff81edbcc30a9,F,59,2018-06-27,2018,99000.0,53.69,26.845,6.0,6.0,3.0,Older,Upper-Middle,33.333333333333336,0.0,50.0,Low,Low,Low,Cluster 0
02abd909ebc94aca8766f3f0ee39db80,M,26,2018-02-22,2018,61000.0,126.42,15.8025,4.0,3.0,3.0,Youth,Lower-Middle,100.0,0.0,0.0,High,Low,Low,Cluster 2
02b5aa5725f94bcb94ca58208015b7bc,M,65,2016-10-28,2016,46000.0,39.91,3.0700000000000003,4.0,2.0,2.0,Older,Lower-Middle,0.0,33.333333333333336,50.0,Low,Low,Low,Cluster 1
